Operon number	Sequence	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15	Genes_16
operon 494	NZ_CP015225.1	3120685	3124233	+	2	TK06_RS13320	TK06_RS13325														
operon 495	NZ_CP015225.1	3126001	3127493	-	2	TK06_RS13335	TK06_RS13340														
operon 496	NZ_CP015225.1	3127840	3129207	+	2	TK06_RS13345	TK06_RS13350														
operon 497	NZ_CP015225.1	3138428	3140092	+	2	TK06_RS13390	TK06_RS13395														
operon 498	NZ_CP015225.1	3142231	3142825	+	2	TK06_RS13415	TK06_RS13420														
operon 499	NZ_CP015225.1	3170621	3172930	+	3	TK06_RS13480	TK06_RS13485	TK06_RS13490													
operon 500	NZ_CP015225.1	3177282	3179484	-	2	TK06_RS13510	TK06_RS13515														
operon 501	NZ_CP015225.1	3181119	3181960	-	2	TK06_RS13525	TK06_RS13530														
operon 502	NZ_CP015225.1	3196161	3196879	-	2	TK06_RS13575	TK06_RS13580														
operon 503	NZ_CP015225.1	3197079	3199137	+	2	TK06_RS13585	TK06_RS13590														
operon 504	NZ_CP015225.1	3199240	3201610	-	3	TK06_RS13595	TK06_RS13600	TK06_RS13605													
operon 505	NZ_CP015225.1	3203508	3205369	-	3	TK06_RS13615	TK06_RS13620	TK06_RS13625													
operon 506	NZ_CP015225.1	3214077	3215787	-	2	TK06_RS13685	TK06_RS13690														
operon 507	NZ_CP015225.1	3217835	3219258	-	2	TK06_RS13705	TK06_RS13710														
operon 508	NZ_CP015225.1	3219380	3221739	-	2	TK06_RS13715	TK06_RS13720														
operon 509	NZ_CP015225.1	3226543	3230688	-	4	TK06_RS13745	TK06_RS13750	TK06_RS13755	TK06_RS13760												
operon 510	NZ_CP015225.1	3232680	3235074	-	2	TK06_RS13780	TK06_RS13785														
operon 511	NZ_CP015225.1	3235864	3236636	+	2	TK06_RS13790	TK06_RS13795														
operon 512	NZ_CP015225.1	3237050	3240565	-	4	TK06_RS13805	TK06_RS13810	TK06_RS13815	TK06_RS13820												
operon 513	NZ_CP015225.1	3240881	3241925	+	2	TK06_RS13825	TK06_RS13830														
operon 514	NZ_CP015225.1	3242055	3243394	-	2	TK06_RS13835	TK06_RS13840														
operon 515	NZ_CP015225.1	3246655	3248815	-	3	TK06_RS13855	TK06_RS13860	TK06_RS13865													
operon 516	NZ_CP015225.1	3250960	3251650	-	2	TK06_RS13875	TK06_RS13880														
operon 517	NZ_CP015225.1	3251800	3253598	+	2	TK06_RS13885	TK06_RS13890														
operon 518	NZ_CP015225.1	3253731	3255786	-	2	TK06_RS13895	TK06_RS13900														
operon 519	NZ_CP015225.1	3257261	3260271	+	3	TK06_RS13910	TK06_RS13915	TK06_RS13920													
operon 520	NZ_CP015225.1	3263440	3267514	+	5	TK06_RS13935	TK06_RS13940	TK06_RS13945	TK06_RS13950	TK06_RS13955											
operon 521	NZ_CP015225.1	3267741	3273222	+	2	TK06_RS13960	TK06_RS13965														
operon 522	NZ_CP015225.1	3273438	3275123	+	3	TK06_RS13970	TK06_RS13975	TK06_RS13980													
operon 523	NZ_CP015225.1	3279104	3280317	+	3	TK06_RS14015	TK06_RS30885	TK06_RS14020													
operon 524	NZ_CP015225.1	3280587	3281214	+	2	TK06_RS30890	TK06_RS14025														
operon 525	NZ_CP015225.1	3284585	3285098	+	2	TK06_RS14045	TK06_RS14050														
operon 526	NZ_CP015225.1	3285799	3288211	+	2	TK06_RS14060	TK06_RS14065														
operon 527	NZ_CP015225.1	3290827	3291834	-	2	TK06_RS14080	TK06_RS14085														
operon 528	NZ_CP015225.1	3298214	3299963	-	2	TK06_RS14115	TK06_RS14120														
operon 529	NZ_CP015225.1	3300197	3301596	-	2	TK06_RS14125	TK06_RS14130														
operon 530	NZ_CP015225.1	3302710	3304259	+	2	TK06_RS14140	TK06_RS14145														
operon 531	NZ_CP015225.1	3305052	3307623	+	3	TK06_RS14155	TK06_RS14160	TK06_RS14165													
operon 532	NZ_CP015225.1	3309509	3315306	+	3	TK06_RS14180	TK06_RS14185	TK06_RS14190													
operon 533	NZ_CP015225.1	3315450	3316039	-	2	TK06_RS14195	TK06_RS14200														
operon 534	NZ_CP015225.1	3318565	3321145	-	3	TK06_RS14215	TK06_RS14220	TK06_RS14225													
operon 535	NZ_CP015225.1	3322926	3327074	-	5	TK06_RS14235	TK06_RS14240	TK06_RS14245	TK06_RS14250	TK06_RS14255											
operon 536	NZ_CP015225.1	3346367	3348108	-	3	TK06_RS14330	TK06_RS14335	TK06_RS14340													
operon 537	NZ_CP015225.1	3348751	3349877	+	2	TK06_RS14350	TK06_RS14355														
operon 538	NZ_CP015225.1	3349889	3351120	-	2	TK06_RS14360	TK06_RS14365														
operon 539	NZ_CP015225.1	3352703	3354681	-	2	TK06_RS14375	TK06_RS14380														
operon 540	NZ_CP015225.1	3357386	3358872	-	2	TK06_RS14400	TK06_RS14405														
operon 541	NZ_CP015225.1	3365237	3368303	-	3	TK06_RS14435	TK06_RS14440	TK06_RS14445													
operon 542	NZ_CP015225.1	3369260	3370701	+	2	TK06_RS14455	TK06_RS14460														
operon 543	NZ_CP015225.1	3370935	3373787	-	3	TK06_RS14465	TK06_RS14470	TK06_RS14475													
operon 544	NZ_CP015225.1	3377516	3380425	-	3	TK06_RS14495	TK06_RS14500	TK06_RS14505													
operon 545	NZ_CP015225.1	3383555	3385745	-	2	TK06_RS14520	TK06_RS14525														
operon 546	NZ_CP015225.1	3385930	3388712	-	2	TK06_RS14530	TK06_RS14535														
operon 547	NZ_CP015225.1	3395253	3397074	+	2	TK06_RS14565	TK06_RS14570														
operon 548	NZ_CP015225.1	3399088	3402885	+	3	TK06_RS14580	TK06_RS14585	TK06_RS14590													
operon 549	NZ_CP015225.1	3403034	3404388	+	2	TK06_RS14595	TK06_RS14600														
operon 550	NZ_CP015225.1	3405929	3408706	+	2	TK06_RS14610	TK06_RS14615														
operon 551	NZ_CP015225.1	3416253	3419895	+	4	TK06_RS14645	TK06_RS14650	TK06_RS14655	TK06_RS14660												
operon 552	NZ_CP015225.1	3420173	3422606	+	4	TK06_RS14665	TK06_RS14670	TK06_RS14675	TK06_RS14680												
operon 553	NZ_CP015225.1	3430977	3432761	-	2	TK06_RS14730	TK06_RS14735														
operon 554	NZ_CP015225.1	3437066	3438089	-	2	TK06_RS14755	TK06_RS14760														
operon 555	NZ_CP015225.1	3438228	3439739	-	2	TK06_RS14765	TK06_RS14770														
operon 556	NZ_CP015225.1	3439931	3441684	+	4	TK06_RS14775	TK06_RS14780	TK06_RS14785	TK06_RS14790												
operon 557	NZ_CP015225.1	3448001	3450003	+	2	TK06_RS14815	TK06_RS30900														
operon 558	NZ_CP015225.1	3450052	3454252	+	5	TK06_RS14820	TK06_RS14825	TK06_RS14830	TK06_RS14835	TK06_RS14840											
operon 559	NZ_CP015225.1	3454473	3457615	+	2	TK06_RS14845	TK06_RS14850														
operon 560	NZ_CP015225.1	3462539	3465225	+	2	TK06_RS14885	TK06_RS14890														
operon 561	NZ_CP015225.1	3467314	3471245	+	2	TK06_RS14910	TK06_RS14915														
operon 562	NZ_CP015225.1	3475385	3476652	+	2	TK06_RS14930	TK06_RS14935														
operon 563	NZ_CP015225.1	3480016	3481104	-	2	TK06_RS14960	TK06_RS14965														
operon 564	NZ_CP015225.1	3484498	3486026	-	2	TK06_RS14990	TK06_RS14995														
operon 565	NZ_CP015225.1	3486682	3487763	-	2	TK06_RS15005	TK06_RS15010														
operon 566	NZ_CP015225.1	3488017	3493913	-	8	TK06_RS15015	TK06_RS15020	TK06_RS15025	TK06_RS15030	TK06_RS15035	TK06_RS15040	TK06_RS15045	TK06_RS15050								
operon 567	NZ_CP015225.1	3494044	3497887	-	3	TK06_RS15055	TK06_RS15060	TK06_RS15065													
operon 568	NZ_CP015225.1	3498018	3500985	-	5	TK06_RS15070	TK06_RS15075	TK06_RS15080	TK06_RS15085	TK06_RS15090											
operon 569	NZ_CP015225.1	3501110	3504901	-	4	TK06_RS15095	TK06_RS15100	TK06_RS15105	TK06_RS15110												
operon 570	NZ_CP015225.1	3505749	3507966	-	4	TK06_RS15120	TK06_RS15125	TK06_RS15130	TK06_RS15135												
operon 571	NZ_CP015225.1	3510612	3514094	-	6	TK06_RS15145	TK06_RS15150	TK06_RS15155	TK06_RS15160	TK06_RS15165	TK06_RS15170										
operon 572	NZ_CP015225.1	3516545	3517272	+	2	TK06_RS15185	TK06_RS30910														
operon 573	NZ_CP015225.1	3523850	3528802	-	6	TK06_RS15205	TK06_RS15210	TK06_RS15215	TK06_RS15220	TK06_RS15225	TK06_RS15230										
operon 574	NZ_CP015225.1	3529910	3530892	-	2	TK06_RS15240	TK06_RS15245														
operon 575	NZ_CP015225.1	3532558	3535039	-	2	TK06_RS15255	TK06_RS15260														
operon 576	NZ_CP015225.1	3541585	3544581	-	4	TK06_RS15280	TK06_RS15285	TK06_RS15290	TK06_RS15295												
operon 577	NZ_CP015225.1	3544687	3546249	-	2	TK06_RS15300	TK06_RS15305														
operon 578	NZ_CP015225.1	3548757	3554221	-	6	TK06_RS15315	TK06_RS15320	TK06_RS15325	TK06_RS15330	TK06_RS15335	TK06_RS15340										
operon 579	NZ_CP015225.1	3556681	3561468	+	3	TK06_RS15355	TK06_RS15360	TK06_RS15365													
operon 580	NZ_CP015225.1	3561606	3562287	+	2	TK06_RS15370	TK06_RS15375														
operon 581	NZ_CP015225.1	3565808	3567237	+	2	TK06_RS15390	TK06_RS15395														
operon 582	NZ_CP015225.1	3567412	3569021	+	2	TK06_RS15400	TK06_RS15405														
operon 583	NZ_CP015225.1	3570179	3572599	+	3	TK06_RS15415	TK06_RS15420	TK06_RS15425													
operon 584	NZ_CP015225.1	3576343	3577469	+	2	TK06_RS15445	TK06_RS15450														
operon 585	NZ_CP015225.1	3577655	3581827	-	2	TK06_RS15455	TK06_RS15460														
operon 586	NZ_CP015225.1	3584124	3586863	-	4	TK06_RS15480	TK06_RS15485	TK06_RS15490	TK06_RS15495												
operon 587	NZ_CP015225.1	3591747	3592464	+	2	TK06_RS15515	TK06_RS15520														
operon 588	NZ_CP015225.1	3597479	3598732	+	2	TK06_RS15540	TK06_RS15545														
operon 589	NZ_CP015225.1	3598822	3600053	-	2	TK06_RS15550	TK06_RS15555														
operon 590	NZ_CP015225.1	3600138	3602006	-	2	TK06_RS15560	TK06_RS15565														
operon 591	NZ_CP015225.1	3606029	3614432	-	7	TK06_RS15580	TK06_RS15585	TK06_RS15590	TK06_RS15595	TK06_RS15600	TK06_RS15605	TK06_RS15610									
operon 592	NZ_CP015225.1	3616705	3619404	+	2	TK06_RS15625	TK06_RS15630														
operon 593	NZ_CP015225.1	3619634	3622428	+	3	TK06_RS15635	TK06_RS15640	TK06_RS15645													
operon 594	NZ_CP015225.1	3624072	3624597	+	2	TK06_RS15655	TK06_RS15660														
operon 595	NZ_CP015225.1	3639674	3641618	-	4	TK06_RS15725	TK06_RS15730	TK06_RS15735	TK06_RS15740												
operon 596	NZ_CP015225.1	3643453	3645519	+	2	TK06_RS15750	TK06_RS15755														
operon 597	NZ_CP015225.1	3650041	3651080	+	2	TK06_RS15770	TK06_RS15775														
operon 598	NZ_CP015225.1	3651224	3652920	+	2	TK06_RS15780	TK06_RS15785														
operon 599	NZ_CP015225.1	3653657	3655530	-	2	TK06_RS15790	TK06_RS15795														
operon 600	NZ_CP015225.1	3660884	3662270	-	2	TK06_RS15825	TK06_RS15830														
operon 601	NZ_CP015225.1	3662489	3664693	+	2	TK06_RS15835	TK06_RS15840														
operon 602	NZ_CP015225.1	3667027	3669434	-	3	TK06_RS15850	TK06_RS15855	TK06_RS15860													
operon 603	NZ_CP015225.1	3671312	3673097	-	2	TK06_RS15870	TK06_RS15875														
operon 604	NZ_CP015225.1	3673138	3684582	-	14	TK06_RS15880	TK06_RS15885	TK06_RS15890	TK06_RS15895	TK06_RS15900	TK06_RS15905	TK06_RS15910	TK06_RS15915	TK06_RS15920	TK06_RS15925	TK06_RS15930	TK06_RS15935	TK06_RS15940	TK06_RS15945		
operon 605	NZ_CP015225.1	3684848	3686396	-	2	TK06_RS15950	TK06_RS15955														
operon 606	NZ_CP015225.1	3688336	3691128	-	2	TK06_RS15970	TK06_RS15975														
operon 607	NZ_CP015225.1	3691574	3693753	-	2	TK06_RS15985	TK06_RS15990														
operon 608	NZ_CP015225.1	3702588	3704628	+	3	TK06_RS16030	TK06_RS16035	TK06_RS16040													
operon 609	NZ_CP015225.1	3705536	3706956	+	2	TK06_RS16055	TK06_RS16060														
operon 610	NZ_CP015225.1	3708960	3714548	-	3	TK06_RS16075	TK06_RS16080	TK06_RS16085													
operon 611	NZ_CP015225.1	3733977	3740427	-	6	TK06_RS16145	TK06_RS16150	TK06_RS16155	TK06_RS16160	TK06_RS16165	TK06_RS16170										
operon 612	NZ_CP015225.1	3748281	3751795	-	3	TK06_RS30960	TK06_RS16200	TK06_RS16205													
operon 613	NZ_CP015225.1	3755063	3757072	+	2	TK06_RS16220	TK06_RS16225														
operon 614	NZ_CP015225.1	3761418	3763809	-	2	TK06_RS16245	TK06_RS16250														
operon 615	NZ_CP015225.1	3764696	3766223	-	2	TK06_RS16260	TK06_RS16265														
operon 616	NZ_CP015225.1	3766447	3769499	-	5	TK06_RS16270	TK06_RS16275	TK06_RS16280	TK06_RS16285	TK06_RS16290											
operon 617	NZ_CP015225.1	3769774	3773113	+	5	TK06_RS16295	TK06_RS16300	TK06_RS16305	TK06_RS16310	TK06_RS16315											
operon 618	NZ_CP015225.1	3774848	3776784	+	4	TK06_RS16325	TK06_RS16330	TK06_RS16335	TK06_RS16340												
operon 619	NZ_CP015225.1	3777973	3780820	-	4	TK06_RS16350	TK06_RS16355	TK06_RS16360	TK06_RS16365												
operon 620	NZ_CP015225.1	3783233	3785544	-	2	TK06_RS16380	TK06_RS16385														
operon 621	NZ_CP015225.1	3789546	3791656	-	2	TK06_RS16395	TK06_RS16400														
operon 622	NZ_CP015225.1	3791840	3793476	-	2	TK06_RS16405	TK06_RS16410														
operon 623	NZ_CP015225.1	3795029	3798240	+	3	TK06_RS16420	TK06_RS16425	TK06_RS16430													
operon 624	NZ_CP015225.1	3798852	3800290	+	2	TK06_RS16440	TK06_RS16445														
operon 625	NZ_CP015225.1	3800365	3802354	-	2	TK06_RS16450	TK06_RS16455														
operon 626	NZ_CP015225.1	3802551	3807013	-	3	TK06_RS16460	TK06_RS16465	TK06_RS16470													
operon 627	NZ_CP015225.1	3812304	3814119	-	2	TK06_RS16495	TK06_RS16500														
operon 628	NZ_CP015225.1	3825646	3829537	+	4	TK06_RS16540	TK06_RS16545	TK06_RS16550	TK06_RS16555												
operon 629	NZ_CP015225.1	3830365	3846485	-	9	TK06_RS16565	TK06_RS16570	TK06_RS16575	TK06_RS16580	TK06_RS16585	TK06_RS16590	TK06_RS16595	TK06_RS16600	TK06_RS16605							
operon 630	NZ_CP015225.1	3849669	3850359	-	2	TK06_RS16620	TK06_RS16625														
operon 631	NZ_CP015225.1	3850820	3854287	+	4	TK06_RS16630	TK06_RS16635	TK06_RS16640	TK06_RS16645												
operon 632	NZ_CP015225.1	3860717	3866278	-	3	TK06_RS16665	TK06_RS16670	TK06_RS16675													
operon 633	NZ_CP015225.1	3866567	3868359	+	2	TK06_RS16680	TK06_RS16685														
operon 634	NZ_CP015225.1	3870841	3872234	-	2	TK06_RS16695	TK06_RS16700														
operon 635	NZ_CP015225.1	3879770	3881093	-	2	TK06_RS16740	TK06_RS16745														
operon 636	NZ_CP015225.1	3881253	3885281	-	2	TK06_RS16750	TK06_RS16755														
operon 637	NZ_CP015225.1	3886221	3891555	-	5	TK06_RS30970	TK06_RS16775	TK06_RS16780	TK06_RS16785	TK06_RS16790											
operon 638	NZ_CP015225.1	3892824	3896957	-	3	TK06_RS16805	TK06_RS16810	TK06_RS16815													
operon 639	NZ_CP015225.1	3898455	3900395	-	2	TK06_RS16825	TK06_RS16830														
operon 640	NZ_CP015225.1	3906384	3908537	-	3	TK06_RS16860	TK06_RS16865	TK06_RS16870													
operon 641	NZ_CP015225.1	3914486	3917964	+	2	TK06_RS16900	TK06_RS16905														
operon 642	NZ_CP015225.1	3920468	3923444	-	4	TK06_RS16925	TK06_RS16930	TK06_RS16935	TK06_RS16940												
operon 643	NZ_CP015225.1	3928337	3929498	-	2	TK06_RS16960	TK06_RS16965														
operon 644	NZ_CP015225.1	3929941	3931388	+	2	TK06_RS16970	TK06_RS16975														
operon 645	NZ_CP015225.1	3931385	3934215	-	4	TK06_RS16980	TK06_RS16985	TK06_RS16990	TK06_RS16995												
operon 646	NZ_CP015225.1	3938035	3940647	+	2	TK06_RS17015	TK06_RS17020														
operon 647	NZ_CP015225.1	3941371	3945611	-	3	TK06_RS17025	TK06_RS17030	TK06_RS17035													
operon 648	NZ_CP015225.1	3945958	3951141	-	6	TK06_RS17040	TK06_RS17045	TK06_RS17050	TK06_RS17055	TK06_RS17060	TK06_RS17065										
operon 649	NZ_CP015225.1	3953308	3955104	-	2	TK06_RS17080	TK06_RS17085														
operon 650	NZ_CP015225.1	3955303	3956788	+	2	TK06_RS17090	TK06_RS17095														
operon 651	NZ_CP015225.1	3977359	3979110	-	2	TK06_RS17150	TK06_RS17155														
operon 652	NZ_CP015225.1	3979273	3985459	+	6	TK06_RS17160	TK06_RS17165	TK06_RS17170	TK06_RS17175	TK06_RS17180	TK06_RS17185										
operon 653	NZ_CP015225.1	3988873	3990417	-	2	TK06_RS17200	TK06_RS17205														
operon 654	NZ_CP015225.1	3992959	4007393	+	4	TK06_RS17215	TK06_RS17220	TK06_RS17225	TK06_RS17230												
operon 655	NZ_CP015225.1	4007904	4011615	-	3	TK06_RS17240	TK06_RS17245	TK06_RS17250													
operon 656	NZ_CP015225.1	4019039	4021463	-	2	TK06_RS17295	TK06_RS17300														
operon 657	NZ_CP015225.1	4024824	4027168	-	3	TK06_RS17320	TK06_RS17325	TK06_RS17330													
operon 658	NZ_CP015225.1	4029403	4036541	-	2	TK06_RS17340	TK06_RS17345														
operon 659	NZ_CP015225.1	4042563	4045477	-	2	TK06_RS17375	TK06_RS17380														
operon 660	NZ_CP015225.1	4046718	4047957	+	2	TK06_RS17390	TK06_RS17395														
operon 661	NZ_CP015225.1	4048491	4052089	+	3	TK06_RS17400	TK06_RS17405	TK06_RS17410													
operon 662	NZ_CP015225.1	4052662	4053724	+	2	TK06_RS17420	TK06_RS17425														
operon 663	NZ_CP015225.1	4065087	4066582	-	2	TK06_RS17475	TK06_RS17480														
operon 664	NZ_CP015225.1	4067219	4070022	+	2	TK06_RS17490	TK06_RS17495														
operon 665	NZ_CP015225.1	4074805	4077014	+	2	TK06_RS17520	TK06_RS17525														
operon 666	NZ_CP015225.1	4077107	4079363	-	4	TK06_RS17530	TK06_RS17535	TK06_RS17540	TK06_RS17545												
operon 667	NZ_CP015225.1	4081411	4083512	-	2	TK06_RS17560	TK06_RS17565														
operon 668	NZ_CP015225.1	4086551	4088179	-	2	TK06_RS17580	TK06_RS17585														
operon 669	NZ_CP015225.1	4088464	4092133	+	2	TK06_RS17590	TK06_RS17595														
operon 670	NZ_CP015225.1	4092370	4094707	+	3	TK06_RS17600	TK06_RS17605	TK06_RS17610													
operon 671	NZ_CP015225.1	4101238	4104253	+	3	TK06_RS17630	TK06_RS17635	TK06_RS17640													
operon 672	NZ_CP015225.1	4108594	4109983	-	2	TK06_RS17655	TK06_RS17660														
operon 673	NZ_CP015225.1	4121025	4125382	-	4	TK06_RS17690	TK06_RS17695	TK06_RS17700	TK06_RS17705												
operon 674	NZ_CP015225.1	4125722	4128742	+	3	TK06_RS17710	TK06_RS17715	TK06_RS17720													
operon 675	NZ_CP015225.1	4135082	4137821	+	3	TK06_RS17750	TK06_RS17755	TK06_RS17760													
operon 676	NZ_CP015225.1	4139627	4143074	+	3	TK06_RS17770	TK06_RS17775	TK06_RS17780													
operon 677	NZ_CP015225.1	4143208	4148409	+	6	TK06_RS17785	TK06_RS17790	TK06_RS17795	TK06_RS17800	TK06_RS17805	TK06_RS17810										
operon 678	NZ_CP015225.1	4155243	4156772	+	2	TK06_RS17850	TK06_RS17855														
operon 679	NZ_CP015225.1	4161619	4164018	+	4	TK06_RS17880	TK06_RS17885	TK06_RS17890	TK06_RS17895												
operon 680	NZ_CP015225.1	4167005	4170784	-	4	TK06_RS17910	TK06_RS17915	TK06_RS17920	TK06_RS17925												
operon 681	NZ_CP015225.1	4172456	4175322	-	2	TK06_RS17935	TK06_RS17940														
operon 682	NZ_CP015225.1	4176638	4178696	+	2	TK06_RS17950	TK06_RS17955														
operon 683	NZ_CP015225.1	4179805	4180649	+	2	TK06_RS17965	TK06_RS17970														
operon 684	NZ_CP015225.1	4181242	4184621	-	2	TK06_RS17980	TK06_RS17985														
operon 685	NZ_CP015225.1	4188319	4189697	-	2	TK06_RS17995	TK06_RS18000														
operon 686	NZ_CP015225.1	4194082	4196161	-	4	TK06_RS18015	TK06_RS18020	TK06_RS18025	TK06_RS18030												
operon 687	NZ_CP015225.1	4196468	4199853	-	2	TK06_RS18035	TK06_RS18040														
operon 688	NZ_CP015225.1	4202708	4205242	-	2	TK06_RS18060	TK06_RS18065														
operon 689	NZ_CP015225.1	4205717	4209418	-	4	TK06_RS18070	TK06_RS18075	TK06_RS18080	TK06_RS18085												
operon 690	NZ_CP015225.1	4209510	4215776	-	5	TK06_RS18090	TK06_RS18095	TK06_RS18100	TK06_RS18105	TK06_RS18110											
operon 691	NZ_CP015225.1	4219584	4221476	-	2	TK06_RS18135	TK06_RS18140														
operon 692	NZ_CP015225.1	4223225	4224920	+	2	TK06_RS18150	TK06_RS18155														
operon 693	NZ_CP015225.1	4231184	4237514	-	5	TK06_RS18180	TK06_RS18185	TK06_RS18190	TK06_RS18195	TK06_RS18200											
operon 694	NZ_CP015225.1	4240014	4241074	-	2	TK06_RS18215	TK06_RS18220														
operon 695	NZ_CP015225.1	4247468	4249655	-	2	TK06_RS18245	TK06_RS18250														
operon 696	NZ_CP015225.1	4250313	4253297	+	3	TK06_RS18260	TK06_RS18265	TK06_RS18270													
operon 697	NZ_CP015225.1	4255682	4259800	-	3	TK06_RS18285	TK06_RS18290	TK06_RS18295													
operon 698	NZ_CP015225.1	4259951	4262236	-	2	TK06_RS18300	TK06_RS18305														
operon 699	NZ_CP015225.1	4263109	4267035	-	3	TK06_RS18315	TK06_RS18320	TK06_RS18325													
operon 700	NZ_CP015225.1	4267394	4274352	-	7	TK06_RS18330	TK06_RS18335	TK06_RS18340	TK06_RS18345	TK06_RS18350	TK06_RS18355	TK06_RS18360									
operon 701	NZ_CP015225.1	4277874	4282168	+	2	TK06_RS18370	TK06_RS18375														
operon 702	NZ_CP015225.1	4284139	4287564	+	2	TK06_RS18385	TK06_RS18390														
operon 703	NZ_CP015225.1	4288623	4291405	-	2	TK06_RS18400	TK06_RS18405														
operon 704	NZ_CP015225.1	4291674	4293023	+	2	TK06_RS18410	TK06_RS18415														
operon 705	NZ_CP015225.1	4301321	4301850	-	2	TK06_RS18435	TK06_RS18440														
operon 706	NZ_CP015225.1	4304013	4310653	+	3	TK06_RS18450	TK06_RS18455	TK06_RS18460													
operon 707	NZ_CP015225.1	4314989	4318249	-	4	TK06_RS18500	TK06_RS18505	TK06_RS18510	TK06_RS18515												
operon 708	NZ_CP015225.1	4318320	4322741	-	4	TK06_RS18520	TK06_RS18525	TK06_RS18530	TK06_RS18535												
operon 709	NZ_CP015225.1	4325234	4329461	+	6	TK06_RS18550	TK06_RS18555	TK06_RS18560	TK06_RS18565	TK06_RS18570	TK06_RS18575										
operon 710	NZ_CP015225.1	4329608	4343353	+	14	TK06_RS18580	TK06_RS18585	TK06_RS18590	TK06_RS18595	TK06_RS18600	TK06_RS18605	TK06_RS18610	TK06_RS18615	TK06_RS18620	TK06_RS18625	TK06_RS18630	TK06_RS18635	TK06_RS18640	TK06_RS18645		
operon 711	NZ_CP015225.1	4353931	4363835	-	12	TK06_RS18685	TK06_RS18690	TK06_RS18695	TK06_RS18700	TK06_RS18705	TK06_RS18710	TK06_RS18715	TK06_RS18720	TK06_RS18725	TK06_RS18730	TK06_RS18735	TK06_RS18740				
operon 712	NZ_CP015225.1	4366996	4372896	-	2	TK06_RS18755	TK06_RS18760														
operon 713	NZ_CP015225.1	4373247	4375937	-	2	TK06_RS18765	TK06_RS18770														
operon 714	NZ_CP015225.1	4376116	4381517	-	6	TK06_RS18775	TK06_RS18780	TK06_RS18785	TK06_RS18790	TK06_RS18795	TK06_RS18800										
operon 715	NZ_CP015225.1	4385926	4386974	-	2	TK06_RS18815	TK06_RS18820														
operon 716	NZ_CP015225.1	4389665	4392098	+	2	TK06_RS18830	TK06_RS18835														
operon 717	NZ_CP015225.1	4395144	4397762	+	2	TK06_RS18855	TK06_RS18860														
operon 718	NZ_CP015225.1	4397875	4400239	+	2	TK06_RS18865	TK06_RS18870														
operon 719	NZ_CP015225.1	4400402	4401716	-	2	TK06_RS18875	TK06_RS18880														
operon 720	NZ_CP015225.1	4402410	4405405	+	3	TK06_RS18890	TK06_RS18895	TK06_RS18900													
operon 721	NZ_CP015225.1	4405518	4408484	+	6	TK06_RS18905	TK06_RS18910	TK06_RS18915	TK06_RS18920	TK06_RS18925	TK06_RS18930										
operon 722	NZ_CP015225.1	4415017	4419352	-	2	TK06_RS18955	TK06_RS18960														
operon 723	NZ_CP015225.1	4419673	4421078	-	2	TK06_RS18965	TK06_RS18970														
operon 724	NZ_CP015225.1	4423449	4425466	-	2	TK06_RS18985	TK06_RS18990														
operon 725	NZ_CP015225.1	4428963	4433216	-	4	TK06_RS19005	TK06_RS19010	TK06_RS19015	TK06_RS19020												
operon 726	NZ_CP015225.1	4435983	4437298	-	2	TK06_RS19030	TK06_RS19035														
operon 727	NZ_CP015225.1	4442108	4443718	-	2	TK06_RS19060	TK06_RS19065														
operon 728	NZ_CP015225.1	4443954	4448950	-	2	TK06_RS19070	TK06_RS19075														
operon 729	NZ_CP015225.1	4458471	4459609	+	2	TK06_RS19110	TK06_RS19115														
operon 730	NZ_CP015225.1	4459864	4462382	+	2	TK06_RS19120	TK06_RS19125														
operon 731	NZ_CP015225.1	4463887	4465078	-	3	TK06_RS19140	TK06_RS19145	TK06_RS19150													
operon 732	NZ_CP015225.1	4467079	4470501	+	3	TK06_RS19160	TK06_RS19165	TK06_RS19170													
operon 733	NZ_CP015225.1	4471390	4474435	-	5	TK06_RS19180	TK06_RS19185	TK06_RS19190	TK06_RS19195	TK06_RS19200											
operon 734	NZ_CP015225.1	4477309	4480873	+	3	TK06_RS19215	TK06_RS19220	TK06_RS19225													
operon 735	NZ_CP015225.1	4482190	4486662	+	4	TK06_RS19245	TK06_RS19250	TK06_RS19255	TK06_RS19260												
operon 736	NZ_CP015225.1	4487517	4489059	+	2	TK06_RS19270	TK06_RS19275														
operon 737	NZ_CP015225.1	4489138	4491753	+	3	TK06_RS19280	TK06_RS19285	TK06_RS19290													
operon 738	NZ_CP015225.1	4494826	4496231	+	2	TK06_RS19315	TK06_RS19320														
operon 739	NZ_CP015225.1	4498570	4499657	-	2	TK06_RS19335	TK06_RS19340														
operon 740	NZ_CP015225.1	4500846	4503049	-	4	TK06_RS19350	TK06_RS19355	TK06_RS19360	TK06_RS19365												
operon 741	NZ_CP015225.1	4510781	4514155	+	4	TK06_RS19395	TK06_RS19400	TK06_RS19405	TK06_RS19410												
operon 742	NZ_CP015225.1	4514227	4517916	+	3	TK06_RS19415	TK06_RS19420	TK06_RS19425													
operon 743	NZ_CP015225.1	4518043	4519433	-	2	TK06_RS19430	TK06_RS19435														
